ip,timestamp,packet_count,total_bytes,avg_packet_size,unique_dst_ports,syn_count,syn_ack_ratio,packets_per_second,bytes_per_second,port_scan_score,label,prediction,probability_normal,probability_attack,anomaly
0.0.0.0,2024-12-18 17:50:13.581457,21,1260,60.0,0,0,1.0,0.01267540111415472037876821930,0.7605240668492832227260931577,0.0,normal,normal,0.95,0.05,1
172.16.8.120,2024-12-18 17:50:12.008005,697,1603187,2300.124820659971,4,104,0.009615384615384616,0.4221740830434035151733254051,971.0530870474963433001119601,0.005738880918220947,attack,attack,0.17,0.83,-1
172.16.8.20,2024-12-18 17:50:12.008072,655,1682407,2568.5603053435116,106,4,26.0,0.3967346547694895973353977733,1019.036885995072801502678720,0.1618320610687023,attack,attack,0.14,0.86,-1
172.16.8.50,2024-12-18 17:50:15.783159,3,729,243.0,0,0,1.0,0.002079251959554449101801723596,0.5052582261717311317378188339,0.0,normal,normal,0.99,0.01,1
172.16.8.3,2024-12-18 17:38:44.212017,2,486,243.0,0,0,1.0,0.002782215279766617321203724217,0.6760783129832880090525049846,0.0,normal,normal,0.98,0.02,1
