ip,timestamp,packet_count,total_bytes,avg_packet_size,unique_dst_ports,syn_count,syn_ack_ratio,packets_per_second,bytes_per_second,port_scan_score,label,prediction
0.0.0.0,2024-12-18 17:50:13.581457,21,1260,60.0,0,0,1.0,0.01267540111415472,0.7605240668492832,0.0,normal,normal
172.16.8.120,2024-12-18 17:50:12.008005,697,1603187,2300.124820659971,4,104,0.009615384615384616,0.42217408304340354,971.0530870474963,0.005738880918220947,ddos,ddos
172.16.8.20,2024-12-18 17:50:12.008072,655,1682407,2568.5603053435116,106,4,26.0,0.3967346547694896,1019.0368859950728,0.1618320610687023,port_scan,port_scan
172.16.8.50,2024-12-18 17:50:15.783159,3,729,243.0,0,0,1.0,0.002079251959554449,0.5052582261717311,0.0,normal,normal
172.16.8.3,2024-12-18 17:38:44.212017,2,486,243.0,0,0,1.0,0.002782215279766617,0.676078312983288,0.0,normal,normal
